;;TABLA;FEC_TRAS;FEC_FIN;HAS;BASICO;RENDIMIENTO;VARIEDAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;206;27/06/2005;15/09/2005;4,16;BROCOLI;7,046;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;D O R S O;;;;;;;G U S A N O;;;;;;;;;C H I N C H E;;;;;;B E N E F I C O S;;;;;;;;;;;;;;;
DIA;LAPSO;FECHA_MUESTRA;N_PLANTAS;DORSO;HUEVESILLO;CHICO;MEDIANO;GRANDE;PUPA NO PARASITADO;PROMEDIO;GUSANO;HUEVESILLO;CHICO;MEDIANO;GRANDE;NO PARASITADO;PROMEDIO;PULGON;PROMEDIO PULGON;CHINCHE;HUEVESILLO;ADULTO;PROMEDIO;DIABROTICA;PROMEDIO DIABROTICA;BENEFICOS;DORSO_PARASITADO;GUSANOS PARASITADOS;PULGON PARASITADO;CHRYSOPA;SYRFID;DIADEGMA;CATARINA;PIRATA;PROMEDIO BENEFICOS;PROMEDIO TOTAL;;;;;;
0;0;27-jun-05;1;(0)_0_0_0_0;0;0;0;0;0;0;(0)_0_0_0_0;0;0;0;0;0;0;0;0;(0)_0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0_0_0_0_0_0;;;INSECTOS BENEFICOS;;;
7;7;04-jul-05;204;(9)_3_0_0_0;9;3;0;0;0;0,01;(115)_3_0_0_0;115;3;0;0;0;0,01;0;0;(0)_0;0;0;0;5;0,02;3;0;0;0;0;0;0;3;0;0,01;0.01_0.01_0_0_0.02_0.01;;;;;;
10;3;07-jul-05;204;(17)_11_3_0_0;17;11;3;0;0;0,06;(117)_19_2_0_0;117;19;2;0;0;0,1;0;0;(0)_0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0.06_0.1_0_0_0_0;;;Nombre comun;Nombre científico;Control;cultivos
14;4;11-jul-05;204;(17)_29_8_13_0;17;29;8;13;0;0,24;(28)_50_8_0_0;28;50;8;0;0;0,28;3;0,01;(0)_0;0;0;0;16;0,07;3;0;0;0;0;0;0;3;0;0,01;0.24_0.28_0.01_0_0.07_0.01;;;;;;
17;3;14-jul-05;204;(26)_45_20_9_0;26;45;20;9;0;0,36;(13)_30_18_2_0;13;30;18;2;0;0,24;0;0;(0)_0;0;0;0;23;0,11;7;0;0;0;0;0;0;7;0;0,03;0.36_0.24_0_0_0.11_0.03;;;Trichogramma;Trichogramma spp;control,  parasita  de huevecillos de gusanos;brocoli, coliflor, ejote, chicharo, espinaca, calabaza, chile
21;4;18-jul-05;204;(23)_38_15_3_0;23;38;15;3;0;0,27;(15)_33_3_0_0;15;33;3;0;0;0,17;0;0;(0)_0;0;0;0;17;0,08;4;2;0;0;0;0;0;2;0;0,01;0.27_0.17_0_0_0.08_0.01;;;Diadegma;Diadegma insularis;control de gusano dorso de diamante;brocoli y coliflor
25;4;22-jul-05;204;(20)_11_15_14_0;20;11;15;14;0;0,19;(7)_34_23_4_0;7;34;23;4;0;0,29;9;0,04;(0)_0;0;0;0;16;0,07;16;0;0;0;3;0;0;13;0;0,07;0.19_0.29_0.04_0_0.07_0.07;;;Crysopa;Chrysoperla carnea;control de huevecillos de insectos,  pulgones, trips, araña roja;brocoli, coliflor, ejote, chicharo, espinaca, calabaza, chile
29;4;26-jul-05;204;(19)_39_39_48_3;19;39;39;48;3;0,63;(315)_27_10_0_0;315;27;10;0;0;0,18;12;0,05;(0)_0;0;0;0;19;0,09;32;6;15;0;4;0;0;7;0;0,15;0.63_0.18_0.05_0_0.09_0.15;;;Catarina;Hypodamia spp;control de huevecillos de insectos,  pulgones, trips, araña roja;brocoli, coliflor, ejote, chicharo, espinaca, calabaza, chile
32;3;29-jul-05;204;(12)_14_15_11_4;12;14;15;11;4;0,21;(4)_16_14_5_0;4;16;14;5;0;0,17;0;0;(0)_0;0;0;0;23;0,11;11;3;0;0;0;0;0;8;0;0,05;0.21_0.17_0_0_0.11_0.05;;;;;;
