;;TABLA;FEC_TRAS;FEC_FIN;HAS;BASICO;RENDIMIENTO;VARIEDAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;207;08/07/2005;26/09/2005;3,65;BROCOLI;8,379;189;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;D O R S O;;;;;;;G U S A N O;;;;;;;;;C H I N C H E;;;;;;B E N E F I C O S;;;;;;;;;
DIA;LAPSO;FECHA_MUESTRA;N_PLANTAS;DORSO;HUEVESILLO;CHICO;MEDIANO;GRANDE;NO PARASITADO;PROMEDIO;GUSANO;HUEVESILLO;CHICO;MEDIANO;GRANDE;NO PARASITADO;PROMEDIO;PULGON;PROMEDIO PULGON;CHINCHE;HUEVESILLO;GRANDE;PROMEDIO;DIABROTICA;PROMEDIO DIABROTICA;BENEFICOS;DORSO_PARASITADO;GUSANOS PARASITADOS;PULGON PARASITADO;CHRYSOPA;SYRFID;DIADEGMA;CATARINA;PIRATA;PROMEDIO BENEFICOS;PROMEDIO TOTAL
0;0;07-jul-05;1;(0)_0_0_0_0;0;0;0;0;0;0;(0)_0_0_0_0;0;0;0;0;0;0;0;0;(0)_0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0_0_0_0_0_0
12;12;19-jul-05;176;(21)_0_0_0_0;21;0;0;0;0;0;(32)_5_3_0_0;32;5;3;0;0;0,04;0;0;(0)_0;0;0;0;4;0,02;0;0;0;0;0;0;0;0;0;0;0_0.04_0_0_0.02_0
15;3;22-jul-05;180;(14)_6_0_0_0;14;6;0;0;0;0,03;(32)_11_2_0_0;32;11;2;0;0;0,07;0;0;(0)_0;0;0;0;8;0,04;0;0;0;0;0;0;0;0;0;0;0.03_0.07_0_0_0.04_0
19;4;26-jul-05;180;(15)_21_24_31_0;15;21;24;31;0;0,42;(51)_35_12_6_0;51;35;12;6;0;0,29;7;0,03;(0)_0;0;0;0;14;0,07;3;0;0;0;0;0;0;3;0;0,01;0.42_0.29_0.03_0_0.07_0.01
22;3;29-jul-05;180;(19)_19_16_9_0;19;19;16;9;0;0,24;(16)_15_11_4_0;16;15;11;4;0;0,16;0;0;(0)_0;0;0;0;19;0,1;5;0;0;0;0;0;0;5;0;0,02;0.24_0.16_0_0_0.1_0.02
26;4;02-ago-05;180;(10)_13_14_10_0;10;13;14;10;0;0,2;(0)_28_12_3_0;0;28;12;3;0;0,23;0;0;(0)_0;0;0;0;17;0,09;2;0;0;0;0;0;0;2;0;0,01;0.2_0.23_0_0_0.09_0.01
30;4;06-ago-05;180;(16)_13_17_14_0;16;13;17;14;0;0,24;(14)_29_15_4_0;14;29;15;4;0;0,26;1;0;(0)_0;0;0;0;16;0,08;14;3;0;0;0;0;0;11;0;0,07;0.24_0.26_0_0_0.08_0.07
35;5;11-ago-05;174;(0)_10_10_5_0;0;10;10;5;0;0,14;(80)_31_6_4_0;80;31;6;4;0;0,23;5;0,02;(0)_5;0;5;0,02;10;0,05;17;0;2;14;0;0;0;1;0;0,09;0.14_0.23_0.02_0.02_0.05_0.09
42;7;18-ago-05;180;(0)_22_22_31_3;0;22;22;31;3;0,43;(4)_16_3_0_0;4;16;3;0;0;0,1;2;0,01;(0)_0;0;0;0;16;0,08;7;4;0;0;0;0;0;3;0;0,03;0.43_0.1_0.01_0_0.08_0.03
47;5;23-ago-05;180;(0)_25_17_19_4;0;25;17;19;4;0,36;(0)_41_2_0_0;0;41;2;0;0;0,23;3;0,01;(4)_7;4;7;0,03;11;0,06;14;7;0;0;0;0;0;5;2;0,07;0.36_0.23_0.01_0.03_0.06_0.07
51;4;27-ago-05;180;(0)_27_18_19_2;0;27;18;19;2;0,36;(8)_22_7_0_0;8;22;7;0;0;0,16;2;0,01;(3)_6;3;6;0,03;15;0,08;12;6;0;0;1;0;0;5;0;0,06;0.36_0.16_0.01_0.03_0.08_0.06
56;5;01-sep-05;180;(0)_22_21_35_8;0;22;21;35;8;0,47;(4)_19_9_1_0;4;19;9;1;0;0,16;2;0,01;(7)_11;7;11;0,06;14;0,07;30;12;7;0;0;0;0;11;0;0,16;0.47_0.16_0.01_0.06_0.07_0.16
61;5;06-sep-05;150;(0)_18_16_31_2;0;18;16;31;2;0,44;(0)_51_12_12_0;0;51;12;12;0;0,5;4;0,02;(3)_6;3;6;0,04;17;0,11;36;5;5;15;0;0;0;11;0;0,24;0.44_0.5_0.02_0.04_0.11_0.24
64;3;09-sep-05;150;(0)_17_16_22_8;0;17;16;22;8;0,42;(0)_19_12_10_0;0;19;12;10;0;0,27;3;0,02;(5)_8;5;8;0,05;16;0,1;16;7;0;0;0;0;0;9;0;0,1;0.42_0.27_0.02_0.05_0.1_0.1
69;5;14-sep-05;135;(0)_7_19_13_5;0;7;19;13;5;0,32;(40)_36_16_2_0;40;36;16;2;0;0,4;1;0;(6)_8;6;8;0,05;13;0,09;21;5;5;0;0;0;0;11;0;0,15;0.32_0.4_0_0.05_0.09_0.15
75;6;20-sep-05;120;(0)_28_17_25_5;0;28;17;25;5;0,62;(0)_34_24_7_0;0;34;24;7;0;0,54;3;0,02;(2)_13;2;13;0,1;8;0,06;31;6;6;10;0;0;0;9;0;0,25;0.62_0.54_0.02_0.1_0.06_0.25
78;3;23-sep-05;60;(0)_18_21_17_9;0;18;21;17;9;1,08;(0)_28_18_0_0;0;28;18;0;0;0,76;2;0,03;(6)_10;6;10;0,16;13;0,21;26;9;8;0;0;0;0;9;0;0,43;1.08_0.76_0.03_0.16_0.21_0.43
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;APLICACIONES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;FECHA APLICACIÓN;INSUMO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;07-jul-05;GOAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;21;28-jul-05;XENTARI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
